,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
58,58,sorlie,85,456,relieff_wrapper,SVC(),10,Leave-one-out,2,ACC,0.4852941176470588
59,59,sorlie,85,456,relaxed_lasso_wrapper,SVC(),10,Leave-one-out,2,ACC,
60,60,sorlie,85,456,f_classif_wrapper,SVC(),20,Leave-one-out,2,ACC,0.8088235294117647
61,61,sorlie,85,456,RFE_wrapper,SVC(),20,Leave-one-out,2,ACC,0.5735294117647058
62,62,sorlie,85,456,relieff_wrapper,SVC(),20,Leave-one-out,2,ACC,0.5735294117647058
63,63,sorlie,85,456,relaxed_lasso_wrapper,SVC(),20,Leave-one-out,2,ACC,
64,64,sorlie,85,456,f_classif_wrapper,SVC(),50,Leave-one-out,2,ACC,0.7941176470588236
65,65,sorlie,85,456,RFE_wrapper,SVC(),50,Leave-one-out,2,ACC,0.6617647058823529
66,66,sorlie,85,456,relieff_wrapper,SVC(),50,Leave-one-out,2,ACC,0.7058823529411765
67,67,sorlie,85,456,relaxed_lasso_wrapper,SVC(),50,Leave-one-out,2,ACC,
68,68,sorlie,85,456,f_classif_wrapper,SVC(),100,Leave-one-out,2,ACC,0.8088235294117647
69,69,sorlie,85,456,RFE_wrapper,SVC(),100,Leave-one-out,2,ACC,0.7205882352941176
70,70,sorlie,85,456,relieff_wrapper,SVC(),100,Leave-one-out,2,ACC,0.8529411764705882
71,71,sorlie,85,456,relaxed_lasso_wrapper,SVC(),100,Leave-one-out,2,ACC,
72,72,sorlie,85,456,f_classif_wrapper,RandomForestClassifier(),1,Leave-one-out,2,ACC,0.5588235294117647
73,73,sorlie,85,456,RFE_wrapper,RandomForestClassifier(),1,Leave-one-out,2,ACC,0.3088235294117647
74,74,sorlie,85,456,relieff_wrapper,RandomForestClassifier(),1,Leave-one-out,2,ACC,0.39705882352941174
75,75,sorlie,85,456,relaxed_lasso_wrapper,RandomForestClassifier(),1,Leave-one-out,2,ACC,
76,76,sorlie,85,456,f_classif_wrapper,RandomForestClassifier(),2,Leave-one-out,2,ACC,0.6176470588235294
77,77,sorlie,85,456,RFE_wrapper,RandomForestClassifier(),2,Leave-one-out,2,ACC,0.3235294117647059
78,78,sorlie,85,456,relieff_wrapper,RandomForestClassifier(),2,Leave-one-out,2,ACC,0.4852941176470588
79,79,sorlie,85,456,relaxed_lasso_wrapper,RandomForestClassifier(),2,Leave-one-out,2,ACC,
80,80,sorlie,85,456,f_classif_wrapper,RandomForestClassifier(),3,Leave-one-out,2,ACC,0.6764705882352942
81,81,sorlie,85,456,RFE_wrapper,RandomForestClassifier(),3,Leave-one-out,2,ACC,0.36764705882352944
