,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
58,58,subramanian,50,10100,relieff_wrapper,SVC(),10,Leave-one-out,2,AUC,0.5387500000000001
59,59,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),10,Leave-one-out,2,AUC,0.6640625
60,60,subramanian,50,10100,f_classif_wrapper,SVC(),20,Leave-one-out,2,AUC,0.72875
61,61,subramanian,50,10100,RFE_wrapper,SVC(),20,Leave-one-out,2,AUC,0.496875
62,62,subramanian,50,10100,relieff_wrapper,SVC(),20,Leave-one-out,2,AUC,0.6425000000000001
63,63,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),20,Leave-one-out,2,AUC,0.6025
64,64,subramanian,50,10100,f_classif_wrapper,SVC(),50,Leave-one-out,2,AUC,0.744375
65,65,subramanian,50,10100,RFE_wrapper,SVC(),50,Leave-one-out,2,AUC,0.39718749999999997
66,66,subramanian,50,10100,relieff_wrapper,SVC(),50,Leave-one-out,2,AUC,0.6953125
67,67,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),50,Leave-one-out,2,AUC,0.5953125
68,68,subramanian,50,10100,f_classif_wrapper,SVC(),100,Leave-one-out,2,AUC,0.6725
69,69,subramanian,50,10100,RFE_wrapper,SVC(),100,Leave-one-out,2,AUC,0.38687499999999997
70,70,subramanian,50,10100,relieff_wrapper,SVC(),100,Leave-one-out,2,AUC,0.6781250000000001
71,71,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),100,Leave-one-out,2,AUC,0.6815625000000001
72,72,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),1,Leave-one-out,2,AUC,0.480625
73,73,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),1,Leave-one-out,2,AUC,0.5
74,74,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),1,Leave-one-out,2,AUC,0.480625
75,75,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),1,Leave-one-out,2,AUC,0.4453125
76,76,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),2,Leave-one-out,2,AUC,0.5765625000000001
77,77,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),2,Leave-one-out,2,AUC,0.5
78,78,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),2,Leave-one-out,2,AUC,0.41250000000000003
79,79,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),2,Leave-one-out,2,AUC,0.40750000000000003
80,80,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),3,Leave-one-out,2,AUC,0.5662499999999999
81,81,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),3,Leave-one-out,2,AUC,0.5475
82,82,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),3,Leave-one-out,2,AUC,0.3428125
83,83,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),3,Leave-one-out,2,AUC,0.42625
84,84,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),4,Leave-one-out,2,AUC,0.5275
85,85,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),4,Leave-one-out,2,AUC,0.48484374999999996
86,86,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),4,Leave-one-out,2,AUC,0.475625
87,87,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),4,Leave-one-out,2,AUC,0.41312499999999996
88,88,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),5,Leave-one-out,2,AUC,0.42375
89,89,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),5,Leave-one-out,2,AUC,0.5475000000000001
90,90,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),5,Leave-one-out,2,AUC,0.5053125
91,91,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),5,Leave-one-out,2,AUC,0.4565625
92,92,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),10,Leave-one-out,2,AUC,0.5578125
93,93,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),10,Leave-one-out,2,AUC,0.540625
94,94,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),10,Leave-one-out,2,AUC,0.4378125
95,95,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),10,Leave-one-out,2,AUC,0.525625
96,96,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),20,Leave-one-out,2,AUC,0.5565625
97,97,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),20,Leave-one-out,2,AUC,0.6587500000000001
98,98,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),20,Leave-one-out,2,AUC,0.5115624999999999
99,99,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),20,Leave-one-out,2,AUC,0.6387499999999999
100,100,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),50,Leave-one-out,2,AUC,0.71375
101,101,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),50,Leave-one-out,2,AUC,0.4615625
102,102,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),50,Leave-one-out,2,AUC,0.6025
103,103,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),50,Leave-one-out,2,AUC,0.5834375
104,104,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),100,Leave-one-out,2,AUC,0.6559375000000001
105,105,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),100,Leave-one-out,2,AUC,0.5775
106,106,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),100,Leave-one-out,2,AUC,0.678125
107,107,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),100,Leave-one-out,2,AUC,0.575625
108,108,subramanian,50,10100,f_classif_wrapper,LogisticRegression(),1,Leave-one-out,2,AUC,0.434375
109,109,subramanian,50,10100,RFE_wrapper,LogisticRegression(),1,Leave-one-out,2,AUC,0.5
110,110,subramanian,50,10100,relieff_wrapper,LogisticRegression(),1,Leave-one-out,2,AUC,0.434375
111,111,subramanian,50,10100,relaxed_lasso_wrapper,LogisticRegression(),1,Leave-one-out,2,AUC,0.4915625
112,112,subramanian,50,10100,f_classif_wrapper,LogisticRegression(),2,Leave-one-out,2,AUC,0.4634375
113,113,subramanian,50,10100,RFE_wrapper,LogisticRegression(),2,Leave-one-out,2,AUC,0.5
114,114,subramanian,50,10100,relieff_wrapper,LogisticRegression(),2,Leave-one-out,2,AUC,0.424375
115,115,subramanian,50,10100,relaxed_lasso_wrapper,LogisticRegression(),2,Leave-one-out,2,AUC,0.5278125
116,116,subramanian,50,10100,f_classif_wrapper,LogisticRegression(),3,Leave-one-out,2,AUC,0.5278125
117,117,subramanian,50,10100,RFE_wrapper,LogisticRegression(),3,Leave-one-out,2,AUC,0.6
118,118,subramanian,50,10100,relieff_wrapper,LogisticRegression(),3,Leave-one-out,2,AUC,0.45125
