,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
51,51,khan,63,2308,relaxed_lasso_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",4,Leave-one-out,2,PR-AUC,0.48
52,52,khan,63,2308,f_classif_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",5,Leave-one-out,2,PR-AUC,0.8
53,53,khan,63,2308,RFE_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",5,Leave-one-out,2,PR-AUC,0.30000000000000004
54,54,khan,63,2308,relieff_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",5,Leave-one-out,2,PR-AUC,0.74
55,55,khan,63,2308,relaxed_lasso_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",5,Leave-one-out,2,PR-AUC,0.46
56,56,khan,63,2308,f_classif_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",10,Leave-one-out,2,PR-AUC,0.96
57,57,khan,63,2308,RFE_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",10,Leave-one-out,2,PR-AUC,0.66
58,58,khan,63,2308,relieff_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",10,Leave-one-out,2,PR-AUC,0.6799999999999999
59,59,khan,63,2308,relaxed_lasso_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",10,Leave-one-out,2,PR-AUC,0.52
60,60,khan,63,2308,f_classif_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",20,Leave-one-out,2,PR-AUC,0.94
61,61,khan,63,2308,RFE_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",20,Leave-one-out,2,PR-AUC,0.64
62,62,khan,63,2308,relieff_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",20,Leave-one-out,2,PR-AUC,0.74
63,63,khan,63,2308,relaxed_lasso_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",20,Leave-one-out,2,PR-AUC,0.74
64,64,khan,63,2308,f_classif_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",50,Leave-one-out,2,PR-AUC,0.9
65,65,khan,63,2308,RFE_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",50,Leave-one-out,2,PR-AUC,0.6
66,66,khan,63,2308,relieff_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",50,Leave-one-out,2,PR-AUC,0.88
67,67,khan,63,2308,relaxed_lasso_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",50,Leave-one-out,2,PR-AUC,0.62
68,68,khan,63,2308,f_classif_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",100,Leave-one-out,2,PR-AUC,0.9199999999999999
69,69,khan,63,2308,RFE_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",100,Leave-one-out,2,PR-AUC,0.62
70,70,khan,63,2308,relieff_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",100,Leave-one-out,2,PR-AUC,0.8999999999999999
71,71,khan,63,2308,relaxed_lasso_wrapper,"SVC(C=0.1, kernel='linear', probability=True, random_state=0)",100,Leave-one-out,2,PR-AUC,0.6599999999999999
72,72,khan,63,2308,f_classif_wrapper,RandomForestClassifier(),1,Leave-one-out,2,PR-AUC,0.54
73,73,khan,63,2308,RFE_wrapper,RandomForestClassifier(),1,Leave-one-out,2,PR-AUC,0.36
74,74,khan,63,2308,relieff_wrapper,RandomForestClassifier(),1,Leave-one-out,2,PR-AUC,0.45999999999999996
75,75,khan,63,2308,relaxed_lasso_wrapper,RandomForestClassifier(),1,Leave-one-out,2,PR-AUC,0.2
76,76,khan,63,2308,f_classif_wrapper,RandomForestClassifier(),2,Leave-one-out,2,PR-AUC,0.6799999999999999
77,77,khan,63,2308,RFE_wrapper,RandomForestClassifier(),2,Leave-one-out,2,PR-AUC,0.38
78,78,khan,63,2308,relieff_wrapper,RandomForestClassifier(),2,Leave-one-out,2,PR-AUC,0.56
79,79,khan,63,2308,relaxed_lasso_wrapper,RandomForestClassifier(),2,Leave-one-out,2,PR-AUC,0.44
80,80,khan,63,2308,f_classif_wrapper,RandomForestClassifier(),3,Leave-one-out,2,PR-AUC,0.74
81,81,khan,63,2308,RFE_wrapper,RandomForestClassifier(),3,Leave-one-out,2,PR-AUC,0.4
82,82,khan,63,2308,relieff_wrapper,RandomForestClassifier(),3,Leave-one-out,2,PR-AUC,0.54
83,83,khan,63,2308,relaxed_lasso_wrapper,RandomForestClassifier(),3,Leave-one-out,2,PR-AUC,0.5
84,84,khan,63,2308,f_classif_wrapper,RandomForestClassifier(),4,Leave-one-out,2,PR-AUC,0.6599999999999999
85,85,khan,63,2308,RFE_wrapper,RandomForestClassifier(),4,Leave-one-out,2,PR-AUC,0.38
86,86,khan,63,2308,relieff_wrapper,RandomForestClassifier(),4,Leave-one-out,2,PR-AUC,0.58
87,87,khan,63,2308,relaxed_lasso_wrapper,RandomForestClassifier(),4,Leave-one-out,2,PR-AUC,0.48
88,88,khan,63,2308,f_classif_wrapper,RandomForestClassifier(),5,Leave-one-out,2,PR-AUC,0.74
89,89,khan,63,2308,RFE_wrapper,RandomForestClassifier(),5,Leave-one-out,2,PR-AUC,0.4
