,Estimator,Score Time (Mean),Number of features selected (K),Score Function,Fit Time (Mean),Dataset Name
76,RandomForestClassifier,0.2797842025756836,2,f_classif_wrapper,0.2635570764541626,cll
77,RandomForestClassifier,0.29149913787841797,2,RFE_wrapper,0.30245232582092285,cll
78,RandomForestClassifier,0.2992079257965088,2,relieff_wrapper,0.2618074417114258,cll
79,RandomForestClassifier,0.29247963428497314,2,relaxed_lasso_wrapper,0.2907308340072632,cll
80,RandomForestClassifier,0.2972208261489868,3,f_classif_wrapper,0.26180779933929443,cll
81,RandomForestClassifier,0.24285852909088135,3,RFE_wrapper,0.2543271780014038,cll
82,RandomForestClassifier,0.2406177520751953,3,relieff_wrapper,0.24136221408843994,cll
83,RandomForestClassifier,0.26180708408355713,3,relaxed_lasso_wrapper,0.2628052234649658,cll
84,RandomForestClassifier,0.2623152732849121,4,f_classif_wrapper,0.3186553716659546,cll
85,RandomForestClassifier,0.2608194351196289,4,RFE_wrapper,0.27576982975006104,cll
86,RandomForestClassifier,0.2628059387207031,4,relieff_wrapper,0.2705380916595459,cll
87,RandomForestClassifier,0.31367766857147217,4,relaxed_lasso_wrapper,0.25532519817352295,cll
88,RandomForestClassifier,0.3585573434829712,5,f_classif_wrapper,0.23338401317596436,cll
89,RandomForestClassifier,0.31417572498321533,5,RFE_wrapper,0.25632333755493164,cll
90,RandomForestClassifier,0.29221510887145996,5,relieff_wrapper,0.2633141279220581,cll
91,RandomForestClassifier,0.3046848773956299,5,relaxed_lasso_wrapper,0.2500927448272705,cll
92,RandomForestClassifier,0.2712743282318115,10,f_classif_wrapper,0.236375093460083,cll
93,RandomForestClassifier,0.2949650287628174,10,RFE_wrapper,0.27102887630462646,cll
94,RandomForestClassifier,0.27577054500579834,10,relieff_wrapper,0.29870104789733887,cll
95,RandomForestClassifier,0.25682151317596436,10,relaxed_lasso_wrapper,0.2882276773452759,cll
96,RandomForestClassifier,0.31964969635009766,20,f_classif_wrapper,0.23339426517486572,cll
97,RandomForestClassifier,0.3004579544067383,20,RFE_wrapper,0.27352964878082275,cll
98,RandomForestClassifier,0.2513350248336792,20,relieff_wrapper,0.2957245111465454,cll
99,RandomForestClassifier,0.2712821960449219,20,relaxed_lasso_wrapper,0.23513245582580566,cll
100,RandomForestClassifier,0.2745281457901001,50,f_classif_wrapper,0.22490572929382324,cll
101,RandomForestClassifier,0.3612957000732422,50,RFE_wrapper,0.2473543882369995,cll
102,RandomForestClassifier,0.27079081535339355,50,relieff_wrapper,0.2827519178390503,cll
103,RandomForestClassifier,0.2469027042388916,50,relaxed_lasso_wrapper,0.25707221031188965,cll
104,RandomForestClassifier,0.2563309669494629,100,f_classif_wrapper,0.23836565017700195,cll
105,RandomForestClassifier,0.2670489549636841,100,RFE_wrapper,0.26704704761505127,cll
106,RandomForestClassifier,0.3426014184951782,100,relieff_wrapper,0.24136173725128174,cll
107,RandomForestClassifier,0.2944347858428955,100,relaxed_lasso_wrapper,0.2603532075881958,cll
108,LogisticRegression,0.2817819118499756,1,f_classif_wrapper,0.05186104774475098,cll
109,LogisticRegression,0.256830096244812,1,RFE_wrapper,0.03839731216430664,cll
110,LogisticRegression,0.2715367078781128,1,relieff_wrapper,0.03964853286743164,cll
111,LogisticRegression,0.2493342161178589,1,relaxed_lasso_wrapper,0.028431415557861328,cll
112,LogisticRegression,0.2907295227050781,2,f_classif_wrapper,0.05285918712615967,cll
113,LogisticRegression,0.2373729944229126,2,RFE_wrapper,0.040392160415649414,cll
114,LogisticRegression,0.29672253131866455,2,relieff_wrapper,0.029919981956481934,cll
115,LogisticRegression,0.28823697566986084,2,relaxed_lasso_wrapper,0.08328557014465332,cll
116,LogisticRegression,0.2792612314224243,3,f_classif_wrapper,0.06308567523956299,cll
117,LogisticRegression,0.23662972450256348,3,RFE_wrapper,0.030418872833251953,cll
118,LogisticRegression,0.27004122734069824,3,relieff_wrapper,0.024189472198486328,cll
119,LogisticRegression,0.2538301944732666,3,relaxed_lasso_wrapper,0.025186896324157715,cll
120,LogisticRegression,0.3002138137817383,4,f_classif_wrapper,0.038895606994628906,cll
121,LogisticRegression,0.2413620948791504,4,RFE_wrapper,0.04438138008117676,cll
122,LogisticRegression,0.24485290050506592,4,relieff_wrapper,0.026927947998046875,cll
123,LogisticRegression,0.23662948608398438,4,relaxed_lasso_wrapper,0.03341054916381836,cll
124,LogisticRegression,0.2508361339569092,5,f_classif_wrapper,0.03590512275695801,cll
125,LogisticRegression,0.2787621021270752,5,RFE_wrapper,0.026927947998046875,cll
126,LogisticRegression,0.3271428346633911,5,relieff_wrapper,0.040146589279174805,cll
127,LogisticRegression,0.298464298248291,5,relaxed_lasso_wrapper,0.07056605815887451,cll
128,LogisticRegression,0.2598128318786621,10,f_classif_wrapper,0.055352091789245605,cll
129,LogisticRegression,0.24186086654663086,10,RFE_wrapper,0.07355773448944092,cll
130,LogisticRegression,0.22690105438232422,10,relieff_wrapper,0.042386651039123535,cll
131,LogisticRegression,0.23138916492462158,10,relaxed_lasso_wrapper,0.0359039306640625,cll
132,LogisticRegression,0.2840012311935425,20,f_classif_wrapper,0.038152217864990234,cll
133,LogisticRegression,0.24660158157348633,20,RFE_wrapper,0.03390920162200928,cll
134,LogisticRegression,0.26330316066741943,20,relieff_wrapper,0.03540515899658203,cll
135,LogisticRegression,0.24061810970306396,20,relaxed_lasso_wrapper,0.03640258312225342,cll
136,LogisticRegression,0.2628054618835449,50,f_classif_wrapper,0.037399888038635254,cll
137,LogisticRegression,0.26130950450897217,50,RFE_wrapper,0.028922319412231445,cll
138,LogisticRegression,0.22690236568450928,50,relieff_wrapper,0.03366422653198242,cll
139,LogisticRegression,0.24460840225219727,50,relaxed_lasso_wrapper,0.028423786163330078,cll
140,LogisticRegression,0.25482654571533203,100,f_classif_wrapper,0.03765368461608887,cll
141,LogisticRegression,0.25133609771728516,100,RFE_wrapper,0.06158936023712158,cll
142,LogisticRegression,0.2548266649246216,100,relieff_wrapper,0.03041863441467285,cll
143,LogisticRegression,0.24635684490203857,100,relaxed_lasso_wrapper,0.05086314678192139,cll
