,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
57,57,subramanian,50,10100,RFE_wrapper,SVC(),10,Leave-one-out,2,PR-AUC,0.575
58,58,subramanian,50,10100,relieff_wrapper,SVC(),10,Leave-one-out,2,PR-AUC,0.45
59,59,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),10,Leave-one-out,2,PR-AUC,0.5
60,60,subramanian,50,10100,f_classif_wrapper,SVC(),20,Leave-one-out,2,PR-AUC,0.575
61,61,subramanian,50,10100,RFE_wrapper,SVC(),20,Leave-one-out,2,PR-AUC,0.6
62,62,subramanian,50,10100,relieff_wrapper,SVC(),20,Leave-one-out,2,PR-AUC,0.475
63,63,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),20,Leave-one-out,2,PR-AUC,0.5
64,64,subramanian,50,10100,f_classif_wrapper,SVC(),50,Leave-one-out,2,PR-AUC,0.5
65,65,subramanian,50,10100,RFE_wrapper,SVC(),50,Leave-one-out,2,PR-AUC,0.6
66,66,subramanian,50,10100,relieff_wrapper,SVC(),50,Leave-one-out,2,PR-AUC,0.525
67,67,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),50,Leave-one-out,2,PR-AUC,0.475
68,68,subramanian,50,10100,f_classif_wrapper,SVC(),100,Leave-one-out,2,PR-AUC,0.525
69,69,subramanian,50,10100,RFE_wrapper,SVC(),100,Leave-one-out,2,PR-AUC,0.55
70,70,subramanian,50,10100,relieff_wrapper,SVC(),100,Leave-one-out,2,PR-AUC,0.55
71,71,subramanian,50,10100,relaxed_lasso_wrapper,SVC(),100,Leave-one-out,2,PR-AUC,0.475
72,72,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),1,Leave-one-out,2,PR-AUC,0.5
73,73,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),1,Leave-one-out,2,PR-AUC,0.35
74,74,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),1,Leave-one-out,2,PR-AUC,0.5
75,75,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),1,Leave-one-out,2,PR-AUC,0.5
76,76,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),2,Leave-one-out,2,PR-AUC,0.525
77,77,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),2,Leave-one-out,2,PR-AUC,0.35
78,78,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),2,Leave-one-out,2,PR-AUC,0.45
79,79,subramanian,50,10100,relaxed_lasso_wrapper,RandomForestClassifier(),2,Leave-one-out,2,PR-AUC,0.42500000000000004
80,80,subramanian,50,10100,f_classif_wrapper,RandomForestClassifier(),3,Leave-one-out,2,PR-AUC,0.45
81,81,subramanian,50,10100,RFE_wrapper,RandomForestClassifier(),3,Leave-one-out,2,PR-AUC,0.35
82,82,subramanian,50,10100,relieff_wrapper,RandomForestClassifier(),3,Leave-one-out,2,PR-AUC,0.45
