,index,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value
49,49,cll,22,12625,RFE_wrapper,SVC(),4,Leave-pair-out,2,MCC,0.0
50,50,cll,22,12625,relieff_wrapper,SVC(),4,Leave-pair-out,2,MCC,0.08357828375842598
51,51,cll,22,12625,relaxed_lasso_wrapper,SVC(),4,Leave-pair-out,2,MCC,0.2988071523335984
52,52,cll,22,12625,f_classif_wrapper,SVC(),5,Leave-pair-out,2,MCC,0.23264948225841198
53,53,cll,22,12625,RFE_wrapper,SVC(),5,Leave-pair-out,2,MCC,0.0
54,54,cll,22,12625,relieff_wrapper,SVC(),5,Leave-pair-out,2,MCC,0.15811388300841897
55,55,cll,22,12625,relaxed_lasso_wrapper,SVC(),5,Leave-pair-out,2,MCC,0.5224139500835774
56,56,cll,22,12625,f_classif_wrapper,SVC(),10,Leave-pair-out,2,MCC,0.15811388300841897
57,57,cll,22,12625,RFE_wrapper,SVC(),10,Leave-pair-out,2,MCC,0.0
58,58,cll,22,12625,relieff_wrapper,SVC(),10,Leave-pair-out,2,MCC,0.2988071523335984
59,59,cll,22,12625,relaxed_lasso_wrapper,SVC(),10,Leave-pair-out,2,MCC,0.1591089451179962
60,60,cll,22,12625,f_classif_wrapper,SVC(),20,Leave-pair-out,2,MCC,0.08357828375842598
61,61,cll,22,12625,RFE_wrapper,SVC(),20,Leave-pair-out,2,MCC,0.0
62,62,cll,22,12625,relieff_wrapper,SVC(),20,Leave-pair-out,2,MCC,0.08357828375842598
63,63,cll,22,12625,relaxed_lasso_wrapper,SVC(),20,Leave-pair-out,2,MCC,0.1965473819000265
64,64,cll,22,12625,f_classif_wrapper,SVC(),50,Leave-pair-out,2,MCC,0.15811388300841897
65,65,cll,22,12625,RFE_wrapper,SVC(),50,Leave-pair-out,2,MCC,0.0
66,66,cll,22,12625,relieff_wrapper,SVC(),50,Leave-pair-out,2,MCC,0.2988071523335984
67,67,cll,22,12625,relaxed_lasso_wrapper,SVC(),50,Leave-pair-out,2,MCC,0.15811388300841897
68,68,cll,22,12625,f_classif_wrapper,SVC(),100,Leave-pair-out,2,MCC,-0.06549291474156
69,69,cll,22,12625,RFE_wrapper,SVC(),100,Leave-pair-out,2,MCC,0.16666666666666666
70,70,cll,22,12625,relieff_wrapper,SVC(),100,Leave-pair-out,2,MCC,0.02988071523335984
71,71,cll,22,12625,relaxed_lasso_wrapper,SVC(),100,Leave-pair-out,2,MCC,0.15811388300841897
72,72,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),1,Leave-pair-out,2,MCC,0.21666666666666667
73,73,cll,22,12625,RFE_wrapper,RandomForestClassifier(),1,Leave-pair-out,2,MCC,0.0
74,74,cll,22,12625,relieff_wrapper,RandomForestClassifier(),1,Leave-pair-out,2,MCC,0.21666666666666667
75,75,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),1,Leave-pair-out,2,MCC,0.2988071523335984
76,76,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),2,Leave-pair-out,2,MCC,0.21666666666666667
77,77,cll,22,12625,RFE_wrapper,RandomForestClassifier(),2,Leave-pair-out,2,MCC,0.0
78,78,cll,22,12625,relieff_wrapper,RandomForestClassifier(),2,Leave-pair-out,2,MCC,0.3773268353539886
79,79,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),2,Leave-pair-out,2,MCC,0.2988071523335984
80,80,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),3,Leave-pair-out,2,MCC,0.124535599249993
81,81,cll,22,12625,RFE_wrapper,RandomForestClassifier(),3,Leave-pair-out,2,MCC,0.0
82,82,cll,22,12625,relieff_wrapper,RandomForestClassifier(),3,Leave-pair-out,2,MCC,0.273606797749979
83,83,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),3,Leave-pair-out,2,MCC,0.4654738190002651
84,84,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),4,Leave-pair-out,2,MCC,0.32478054967508563
85,85,cll,22,12625,RFE_wrapper,RandomForestClassifier(),4,Leave-pair-out,2,MCC,0.0
86,86,cll,22,12625,relieff_wrapper,RandomForestClassifier(),4,Leave-pair-out,2,MCC,0.15811388300841897
87,87,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),4,Leave-pair-out,2,MCC,0.37334275158359137
88,88,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),5,Leave-pair-out,2,MCC,0.32478054967508563
89,89,cll,22,12625,RFE_wrapper,RandomForestClassifier(),5,Leave-pair-out,2,MCC,0.0
90,90,cll,22,12625,relieff_wrapper,RandomForestClassifier(),5,Leave-pair-out,2,MCC,0.15811388300841897
91,91,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),5,Leave-pair-out,2,MCC,0.5874822869284113
92,92,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),10,Leave-pair-out,2,MCC,0.15811388300841897
93,93,cll,22,12625,RFE_wrapper,RandomForestClassifier(),10,Leave-pair-out,2,MCC,0.0
94,94,cll,22,12625,relieff_wrapper,RandomForestClassifier(),10,Leave-pair-out,2,MCC,0.15811388300841897
95,95,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),10,Leave-pair-out,2,MCC,0.32478054967508563
96,96,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),20,Leave-pair-out,2,MCC,0.2988071523335984
97,97,cll,22,12625,RFE_wrapper,RandomForestClassifier(),20,Leave-pair-out,2,MCC,0.0
98,98,cll,22,12625,relieff_wrapper,RandomForestClassifier(),20,Leave-pair-out,2,MCC,0.15811388300841897
99,99,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),20,Leave-pair-out,2,MCC,0.4654738190002651
100,100,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),50,Leave-pair-out,2,MCC,0.2988071523335984
101,101,cll,22,12625,RFE_wrapper,RandomForestClassifier(),50,Leave-pair-out,2,MCC,0.0
102,102,cll,22,12625,relieff_wrapper,RandomForestClassifier(),50,Leave-pair-out,2,MCC,0.1976423537605237
103,103,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),50,Leave-pair-out,2,MCC,0.2988071523335984
104,104,cll,22,12625,f_classif_wrapper,RandomForestClassifier(),100,Leave-pair-out,2,MCC,0.1976423537605237
105,105,cll,22,12625,RFE_wrapper,RandomForestClassifier(),100,Leave-pair-out,2,MCC,0.0
106,106,cll,22,12625,relieff_wrapper,RandomForestClassifier(),100,Leave-pair-out,2,MCC,0.1976423537605237
107,107,cll,22,12625,relaxed_lasso_wrapper,RandomForestClassifier(),100,Leave-pair-out,2,MCC,0.0
108,108,cll,22,12625,f_classif_wrapper,LogisticRegression(),1,Leave-pair-out,2,MCC,0.0
109,109,cll,22,12625,RFE_wrapper,LogisticRegression(),1,Leave-pair-out,2,MCC,0.0
110,110,cll,22,12625,relieff_wrapper,LogisticRegression(),1,Leave-pair-out,2,MCC,0.0
111,111,cll,22,12625,relaxed_lasso_wrapper,LogisticRegression(),1,Leave-pair-out,2,MCC,0.0
112,112,cll,22,12625,f_classif_wrapper,LogisticRegression(),2,Leave-pair-out,2,MCC,-0.1091089451179962
113,113,cll,22,12625,RFE_wrapper,LogisticRegression(),2,Leave-pair-out,2,MCC,0.0
114,114,cll,22,12625,relieff_wrapper,LogisticRegression(),2,Leave-pair-out,2,MCC,0.3273268353539886
