,Dataset Name,Filtering Algorithm,k,List of Selected Features Names,Selected Features scores
0,toy_example,relaxed_lasso_wrapper,NAN,NAN,"[1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1]"
0,toy_example,RFE_wrapper,NAN,NAN,"[28 21 23 25 14 42 26 18  3  4 30 35 20 36 32 11 10 24 29  5 44 19 27 41
 15  2 39 38  7 43 13 34 31 33  6 17 16 40  9  1  8 37 12 22]"
0,toy_example,f_classif_wrapper,NAN,NAN,"[1.48064146e+00 8.14485985e-01 5.55549481e+00 7.54532896e+00
 1.59192126e-01 3.28454033e+00 4.08422740e-01 1.81025736e+00
 1.35693831e+00 1.87872602e+00 5.94314758e-01 8.49473085e-01
 2.13772250e+00 4.21180813e+00 2.14436286e+00 5.34860845e+00
 5.09777052e-02 8.90428941e-01 1.54658678e-01 4.67063982e+00
 1.14416219e-02 4.00612789e+00 5.29850915e+00 1.19407377e+01
 9.65579719e+00 1.39301245e+01 1.74051745e-01 9.11207221e+00
 9.64876362e+00 2.29261812e+01 2.67647856e+00 8.99024570e+00
 1.61637780e+00 8.37741706e-01 2.96535034e-02 1.62558909e+00
 6.46053396e-02 2.43657325e+00 8.46537408e+00 2.57686741e+01
 9.37511668e+00 1.41780431e+01 1.37841501e+01 9.97306187e+00]"
0,toy_example,relieff_wrapper,NAN,NAN,"[1.48064146e+00 8.14485985e-01 5.55549481e+00 7.54532896e+00
 1.59192126e-01 3.28454033e+00 4.08422740e-01 1.81025736e+00
 1.35693831e+00 1.87872602e+00 5.94314758e-01 8.49473085e-01
 2.13772250e+00 4.21180813e+00 2.14436286e+00 5.34860845e+00
 5.09777052e-02 8.90428941e-01 1.54658678e-01 4.67063982e+00
 1.14416219e-02 4.00612789e+00 5.29850915e+00 1.19407377e+01
 9.65579719e+00 1.39301245e+01 1.74051745e-01 9.11207221e+00
 9.64876362e+00 2.29261812e+01 2.67647856e+00 8.99024570e+00
 1.61637780e+00 8.37741706e-01 2.96535034e-02 1.62558909e+00
 6.46053396e-02 2.43657325e+00 8.46537408e+00 2.57686741e+01
 9.37511668e+00 1.41780431e+01 1.37841501e+01 9.97306187e+00]"
0,toy_example,mrmr_wrapper,NAN,NAN,"[25 31 30 32 10 29 21  6 11  8 16 34 35 33  3 28 20 39 13  7 12 40 15  2
  5 26 37 17 22  1 23 36 14  4 38  0 41  9 27 18 19 43 24 42]"
